Report Target;Ticket Date Create Day Label;Ticket Date Create Month Id;IWM Incident Count;IWM Request Count;IWM Change Count;IWM Problem Count
BARCHART;2018-10-22;2018M10;66;34;0;2
BARCHART;2018-10-21;2018M10;10;6;1;0
BARCHART;2018-10-20;2018M10;15;11;0;0
BARCHART;2018-10-19;2018M10;101;24;2;8
BARCHART;2018-10-18;2018M10;66;46;5;2
BARCHART;2018-10-17;2018M10;78;32;6;0
BARCHART;2018-10-16;2018M10;75;33;4;9
BARCHART;2018-10-15;2018M10;77;30;2;7
BARCHART;2018-10-14;2018M10;7;11;0;0
BARCHART;2018-10-13;2018M10;4;8;0;0
BARCHART;2018-10-12;2018M10;61;28;3;1
BARCHART;2018-10-11;2018M10;68;36;4;4
BARCHART;2018-10-10;2018M10;73;41;3;1
BARCHART;2018-10-09;2018M10;89;38;3;2
BARCHART;2018-10-08;2018M10;101;36;3;0
BARCHART;2018-10-07;2018M10;38;7;0;0
BARCHART;2018-10-06;2018M10;10;4;0;0
BARCHART;2018-10-05;2018M10;90;38;3;0
BARCHART;2018-10-04;2018M10;79;31;0;6
BARCHART;2018-10-03;2018M10;38;14;1;0
BARCHART;2018-10-02;2018M10;68;20;7;0
BARCHART;2018-10-01;2018M10;66;47;4;2
BARCHART;2018-09-30;2018M09;9;9;0;0
BARCHART;2018-09-29;2018M09;6;14;0;0
BARCHART;2018-09-28;2018M09;53;13;1;0
BARCHART;2018-09-27;2018M09;75;35;1;0
BARCHART;2018-09-26;2018M09;55;22;2;0
BARCHART;2018-09-25;2018M09;61;39;2;4
BARCHART;2018-09-24;2018M09;81;24;7;4
BARCHART;2018-09-23;2018M09;4;5;0;0
BARCHART;2018-09-22;2018M09;8;1;0;0
BARCHART;2018-09-21;2018M09;80;32;2;7
BARCHART;2018-09-20;2018M09;66;45;0;10
BARCHART;2018-09-19;2018M09;63;28;7;1
BARCHART;2018-09-18;2018M09;77;24;6;2
BARCHART;2018-09-17;2018M09;73;32;2;1
BARCHART;2018-09-16;2018M09;1;0;0;0
BARCHART;2018-09-15;2018M09;7;14;0;0
BARCHART;2018-09-14;2018M09;77;28;1;4
BARCHART;2018-09-13;2018M09;46;17;1;10
BARCHART;2018-09-12;2018M09;58;34;1;2
BARCHART;2018-09-11;2018M09;89;33;2;1
BARCHART;2018-09-10;2018M09;61;29;4;0
BARCHART;2018-09-09;2018M09;9;11;0;0
BARCHART;2018-09-08;2018M09;8;4;1;0
BARCHART;2018-09-07;2018M09;49;28;1;0
BARCHART;2018-09-06;2018M09;57;34;3;0
BARCHART;2018-09-05;2018M09;57;39;1;2
BARCHART;2018-09-04;2018M09;87;47;1;1
BARCHART;2018-09-03;2018M09;56;30;2;2
BARCHART;2018-09-02;2018M09;4;12;0;0
BARCHART;2018-09-01;2018M09;15;5;0;0
BARCHART;2018-08-31;2018M08;58;40;1;0
BARCHART;2018-08-30;2018M08;54;25;2;3
BARCHART;2018-08-29;2018M08;50;23;4;2
BARCHART;2018-08-28;2018M08;57;35;1;7
BARCHART;2018-08-27;2018M08;55;38;7;0
BARCHART;2018-08-26;2018M08;3;13;1;0
BARCHART;2018-08-25;2018M08;2;2;0;0
BARCHART;2018-08-24;2018M08;70;81;3;1
BARCHART;2018-08-23;2018M08;78;40;4;1
BARCHART;2018-08-22;2018M08;56;25;2;0
BARCHART;2018-08-21;2018M08;98;32;1;6
BARCHART;2018-08-20;2018M08;50;31;1;0
BARCHART;2018-08-19;2018M08;9;9;0;0
BARCHART;2018-08-18;2018M08;13;22;0;0
BARCHART;2018-08-17;2018M08;103;25;2;4
BARCHART;2018-08-16;2018M08;52;21;3;1
BARCHART;2018-08-15;2018M08;57;43;1;2
BARCHART;2018-08-14;2018M08;67;23;5;16
BARCHART;2018-08-13;2018M08;51;23;3;0
BARCHART;2018-08-12;2018M08;1;8;0;0
BARCHART;2018-08-11;2018M08;8;3;0;0
BARCHART;2018-08-10;2018M08;48;21;3;0
BARCHART;2018-08-09;2018M08;74;24;1;1
BARCHART;2018-08-08;2018M08;86;19;7;2
BARCHART;2018-08-07;2018M08;64;36;1;0
BARCHART;2018-08-06;2018M08;62;30;3;1
BARCHART;2018-08-05;2018M08;14;12;0;0
BARCHART;2018-08-04;2018M08;5;12;0;0
BARCHART;2018-08-03;2018M08;46;37;0;2
BARCHART;2018-08-02;2018M08;53;15;5;5
BARCHART;2018-08-01;2018M08;70;26;2;2
BARCHART;2018-07-31;2018M07;52;31;3;2
BARCHART;2018-07-30;2018M07;60;21;4;3
BARCHART;2018-07-29;2018M07;4;2;0;0
BARCHART;2018-07-28;2018M07;16;6;0;0
BARCHART;2018-07-27;2018M07;69;30;0;2
BARCHART;2018-07-26;2018M07;58;45;5;3
BARCHART;2018-07-25;2018M07;84;35;4;11
BARCHART;2018-07-24;2018M07;111;18;10;1
BARCHART;2018-07-23;2018M07;76;17;10;1
BARCHART;2018-07-22;2018M07;8;1;0;0
BARCHART;2018-07-21;2018M07;6;0;1;0
BARCHART;2018-07-20;2018M07;97;20;7;1
BARCHART;2018-07-19;2018M07;49;21;5;2
BARCHART;2018-07-18;2018M07;96;20;1;6
BARCHART;2018-07-17;2018M07;83;24;3;1
BARCHART;2018-07-16;2018M07;140;34;5;5
BARCHART;2018-07-15;2018M07;38;14;0;0
BARCHART;2018-07-14;2018M07;6;2;0;0
BARCHART;2018-07-13;2018M07;39;20;1;2
BARCHART;2018-07-12;2018M07;35;28;5;1
BARCHART;2018-07-11;2018M07;42;41;5;3
BARCHART;2018-07-10;2018M07;54;29;2;9
BARCHART;2018-07-09;2018M07;52;19;2;11
BARCHART;2018-07-08;2018M07;4;7;0;0
BARCHART;2018-07-07;2018M07;9;1;0;0
BARCHART;2018-07-06;2018M07;45;43;1;6
BARCHART;2018-07-05;2018M07;88;27;0;7
BARCHART;2018-07-04;2018M07;59;22;3;2
BARCHART;2018-07-03;2018M07;70;32;0;7
BARCHART;2018-07-02;2018M07;78;26;4;0
BARCHART;2018-07-01;2018M07;4;3;0;0
BARCHART;2018-06-30;2018M06;11;16;0;0
BARCHART;2018-06-29;2018M06;62;35;3;3
BARCHART;2018-06-28;2018M06;77;19;7;8
BARCHART;2018-06-27;2018M06;91;24;7;3
BARCHART;2018-06-26;2018M06;85;27;0;4
BARCHART;2018-06-25;2018M06;77;38;4;4
BARCHART;2018-06-24;2018M06;16;12;0;0
BARCHART;2018-06-23;2018M06;4;0;0;0
BARCHART;2018-06-22;2018M06;60;36;2;6
BARCHART;2018-06-21;2018M06;81;31;1;9
BARCHART;2018-06-20;2018M06;122;42;1;10
BARCHART;2018-06-19;2018M06;94;26;5;4
BARCHART;2018-06-18;2018M06;73;28;3;5
BARCHART;2018-06-17;2018M06;5;7;0;0
BARCHART;2018-06-16;2018M06;18;1;0;0
BARCHART;2018-06-15;2018M06;96;20;1;3
